ТИК,УИК,"Число избирателей, включенных в список избирателей","Число избирательных бюллетеней, полученных участковой избирательной комиссией","Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно","Число избирательных бюллетеней, выданных в помещении для голосования в день голосования","Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования",Число погашенных избирательных бюллетеней,Число избирательных бюллетеней в переносных ящиках для голосования,Число бюллетеней в стационарных ящиках для голосования,Число недействительных избирательных бюллетеней,Число действительных избирательных бюллетеней,Число утраченных избирательных бюллетеней,"Число избирательных бюллетеней, не учтенных при получении",Даванков Владислав Андреевич,Даванков Владислав Андреевич (%),Путин Владимир Владимирович,Путин Владимир Владимирович (%),Слуцкий Леонид Эдуардович,Слуцкий Леонид Эдуардович (%),Харитонов Николай Михайлович,Харитонов Николай Михайлович (%)
Коломенская городская,УИК №962,355,330,0,187,69,74,69,187,4,252,0,0,5,1.95,231,90.23,6,2.34,10,3.91
Коломенская городская,УИК №963,2033,1900,0,1354,306,240,306,1354,25,1635,0,0,22,1.33,1547,93.19,18,01.08,48,2.89
Коломенская городская,УИК №964,676,570,0,219,301,50,301,219,18,502,0,0,17,3.27,424,81.54,21,04.04,40,7.69
Коломенская городская,УИК №965,1003,900,0,692,148,60,148,692,26,814,0,0,10,1.19,780,92.86,6,0.71,18,2.14
Коломенская городская,УИК №966,640,550,0,319,116,115,116,319,2,433,0,0,13,2.99,394,90.57,10,2.3,16,3.68
Коломенская городская,УИК №967,1090,1000,0,906,91,3,91,905,11,985,0,0,25,2.51,920,92.37,18,1.81,22,2.21
Коломенская городская,УИК №968,684,700,0,483,133,84,133,483,8,608,0,0,28,4.55,539,87.5,20,3.25,21,3.41
Коломенская городская,УИК №969,490,400,0,332,40,28,40,332,10,362,0,0,8,2.15,343,92.2,2,0.54,9,2.42
Коломенская городская,УИК №970,746,700,0,585,13,102,13,585,12,586,0,0,7,1.17,551,92.14,17,2.84,11,1.84
Коломенская городская,УИК №971,1157,1100,0,488,322,290,322,488,94,716,0,0,13,1.6,671,82.84,6,0.74,26,3.21
Коломенская городская,УИК №972,1315,1200,0,584,427,189,425,582,22,985,0,0,56,5.56,868,86.2,26,2.58,35,3.48
Коломенская городская,УИК №973,1165,1100,0,835,40,225,40,835,13,862,0,0,11,1.26,809,92.46,23,2.63,19,2.17
Коломенская городская,УИК №974,1285,1200,0,608,274,318,274,608,16,866,0,0,37,4.2,775,87.87,10,1.13,44,4.99
Коломенская городская,УИК №975,2158,2000,0,1523,223,254,223,1523,22,1724,0,0,53,03.04,1596,91.41,31,1.78,44,2.52
Коломенская городская,УИК №976,1287,1250,0,1074,45,131,45,1074,16,1103,0,0,7,0.63,1060,94.73,12,01.07,24,2.14
Коломенская городская,УИК №977,1244,1200,0,872,57,271,57,872,0,929,0,0,43,4.63,838,90.2,22,2.37,26,2.8
Коломенская городская,УИК №978,2125,2000,0,1504,246,250,246,1504,12,1738,0,0,15,0.86,1645,94,40,2.29,38,2.17
Коломенская городская,УИК №979,1249,1200,0,881,61,258,61,881,15,927,0,0,51,5.41,828,87.9,22,2.34,26,2.76
Коломенская городская,УИК №980,1312,1300,0,586,559,155,559,586,14,1131,0,0,26,2.27,1040,90.83,27,2.36,38,3.32
Коломенская городская,УИК №981,1350,1200,0,1087,50,63,50,1087,9,1128,0,0,36,3.17,1047,92.08,22,1.93,23,02.02
Коломенская городская,УИК №982,1246,1100,0,984,63,53,63,984,17,1030,0,0,22,2.1,970,92.65,16,1.53,22,2.1
Коломенская городская,УИК №983,1228,1100,0,918,14,168,14,918,25,907,0,0,28,3,839,90.02,23,2.47,17,1.82
Коломенская городская,УИК №984,1397,1200,0,848,337,15,337,848,20,1165,0,0,33,2.78,1071,90.38,13,1.1,48,04.05
Коломенская городская,УИК №985,2021,1900,0,1454,61,385,61,1454,0,1515,0,0,85,5.61,1394,92.01,6,0.4,30,1.98
Коломенская городская,УИК №986,1521,1250,0,1209,20,21,20,1209,5,1224,0,0,25,02.03,1132,92.11,26,2.12,41,3.34
Коломенская городская,УИК №987,2244,2000,0,1858,33,109,33,1858,7,1884,0,0,24,1.27,1748,92.44,55,2.91,57,03.01
Коломенская городская,УИК №988,1226,1100,0,875,97,128,97,874,8,963,0,0,37,3.81,874,90.01,24,2.47,28,2.88
Коломенская городская,УИК №989,1360,1200,0,936,103,161,103,936,5,1034,0,0,39,3.75,960,92.4,9,0.87,26,2.5
Коломенская городская,УИК №990,1160,1000,0,853,65,82,65,853,3,915,0,0,11,1.2,860,93.68,18,1.96,26,2.83
Коломенская городская,УИК №991,1874,1800,0,1405,185,210,185,1405,17,1573,0,0,18,1.13,1480,93.08,23,1.45,52,3.27
Коломенская городская,УИК №992,1136,1100,0,853,8,239,8,853,14,847,0,0,40,4.65,763,88.62,13,1.51,31,3.6
Коломенская городская,УИК №993,1129,1000,0,452,417,131,417,452,21,848,0,0,28,3.22,772,88.84,19,2.19,29,3.34
Коломенская городская,УИК №994,1876,1725,0,942,593,190,593,942,27,1508,0,0,72,4.69,1330,86.64,42,2.74,64,4.17
Коломенская городская,УИК №995,1154,1000,0,952,15,33,15,952,32,935,0,0,14,1.45,883,91.31,15,1.55,23,2.38
Коломенская городская,УИК №996,2413,2275,0,2100,23,152,23,1948,25,1946,0,0,45,2.28,1849,93.81,25,1.27,27,1.37
Коломенская городская,УИК №997,1031,1000,0,827,7,166,7,827,9,825,0,0,31,3.72,768,92.09,10,1.2,16,1.92
Коломенская городская,УИК №998,1818,1675,0,849,173,653,173,849,27,995,0,0,69,6.75,834,81.6,27,2.64,65,6.36
Коломенская городская,УИК №999,1241,1200,0,632,21,547,21,632,17,636,0,0,65,9.95,506,77.49,18,2.76,47,7.2
Коломенская городская,УИК №1000,961,900,0,395,430,75,430,395,16,809,0,0,29,3.52,728,88.24,23,2.79,29,3.52
Коломенская городская,УИК №1001,1157,1000,0,831,118,51,118,831,24,925,0,0,13,1.37,878,92.52,3,0.32,31,3.27
Коломенская городская,УИК №1002,2172,2050,0,1726,93,231,93,1726,41,1778,0,0,62,3.41,1656,91.04,23,1.26,37,02.03
Коломенская городская,УИК №1003,2072,1900,0,1648,63,189,63,1648,27,1684,0,0,57,3.33,1571,91.82,30,1.75,26,1.52
Коломенская городская,УИК №1004,1101,1050,0,857,25,168,25,857,24,858,0,0,14,1.59,791,89.68,16,1.81,37,4.2
Коломенская городская,УИК №1005,850,730,0,603,67,60,67,603,3,667,0,0,20,2.99,615,91.79,10,1.49,22,3.28
Коломенская городская,УИК №1006,2105,2000,0,1596,111,293,111,1595,11,1695,0,0,32,1.88,1580,92.61,23,1.35,60,3.52
Коломенская городская,УИК №1007,1036,950,0,786,20,144,20,786,10,796,0,0,30,3.72,725,89.95,16,1.99,25,3.1
Коломенская городская,УИК №1008,991,900,0,691,66,143,66,691,23,734,0,0,12,1.59,697,92.07,11,1.45,14,1.85
Коломенская городская,УИК №1009,1251,1200,0,868,95,237,95,868,10,953,0,0,26,2.7,871,90.45,17,1.77,39,04.05
Коломенская городская,УИК №1010,875,800,0,654,114,32,114,654,2,766,0,0,29,3.78,707,92.06,11,1.43,19,2.47
Коломенская городская,УИК №1011,1951,1700,0,816,689,195,689,816,4,1501,0,0,32,2.13,1389,92.29,31,02.06,49,3.26
Коломенская городская,УИК №1012,2092,2000,0,1730,171,99,171,1730,35,1866,0,0,16,0.84,1808,95.11,10,0.53,32,1.68
Коломенская городская,УИК №1013,2376,2200,0,1060,882,258,882,1060,41,1901,0,0,80,4.12,1702,87.64,47,2.42,72,3.71
Коломенская городская,УИК №1014,1101,1000,0,910,36,54,36,910,1,945,0,0,9,0.95,890,94.08,20,2.11,26,2.75
Коломенская городская,УИК №1015,1045,950,0,624,170,156,170,624,8,786,0,0,18,2.27,697,87.78,9,1.13,62,7.81
Коломенская городская,УИК №1016,1146,1000,0,757,95,148,95,662,16,741,0,0,31,4.1,681,89.96,9,1.19,20,2.64
Коломенская городская,УИК №1017,2158,2050,0,1753,97,200,97,1753,28,1822,0,0,26,1.41,1759,95.08,28,1.51,9,0.49
Коломенская городская,УИК №1018,1181,1100,0,841,118,141,118,841,16,943,0,0,9,0.94,895,93.33,19,1.98,20,02.09
Коломенская городская,УИК №1019,2085,1900,0,1633,63,204,63,1633,38,1658,0,0,66,3.89,1491,87.91,34,2,67,3.95
Коломенская городская,УИК №1020,2272,2100,0,1587,123,390,123,1587,5,1705,0,0,18,01.05,1575,92.11,48,2.81,64,3.74
Коломенская городская,УИК №1021,2034,1950,0,1599,42,309,42,1599,15,1626,0,0,35,2.13,1510,92.02,26,1.58,55,3.35
Коломенская городская,УИК №1022,1032,900,0,709,76,115,76,709,10,775,0,0,25,3.18,723,92.1,12,1.53,15,1.91
Коломенская городская,УИК №1023,1124,1000,0,859,103,38,103,859,38,924,0,0,3,0.31,913,94.91,5,0.52,3,0.31
Коломенская городская,УИК №1024,2219,2000,0,1757,53,190,53,1757,21,1789,0,0,48,2.65,1672,92.38,20,1.1,49,2.71
Коломенская городская,УИК №1025,1060,950,0,775,30,145,30,775,29,776,0,0,13,1.61,737,91.55,11,1.37,15,1.86
Коломенская городская,УИК №1026,1653,1500,0,784,684,32,684,784,10,1458,0,0,23,1.57,1351,92.03,29,1.98,55,3.75
Коломенская городская,УИК №1027,2214,2050,0,1773,29,248,29,1773,23,1779,0,0,53,2.94,1625,90.18,32,1.78,69,3.83
Коломенская городская,УИК №1028,1175,1100,0,753,138,209,138,753,19,872,0,0,34,3.82,780,87.54,25,2.81,33,3.7
Коломенская городская,УИК №1029,1069,1050,0,762,66,222,66,762,0,828,0,0,8,0.97,792,95.65,15,1.81,13,1.57
Коломенская городская,УИК №1030,1235,1050,0,875,96,79,96,875,12,959,0,0,23,2.37,828,85.27,51,5.25,57,5.87
Коломенская городская,УИК №1031,1357,1300,0,1112,67,121,67,1112,0,1179,0,0,5,0.42,1096,92.96,7,0.59,71,06.02
Коломенская городская,УИК №1032,2320,2100,0,1784,124,192,124,1784,22,1886,0,0,24,1.26,1768,92.66,36,1.89,58,03.04
Коломенская городская,УИК №1033,1358,1200,0,1159,25,16,25,1159,0,1184,0,0,7,0.59,1112,93.92,5,0.42,60,05.07
Коломенская городская,УИК №1034,2064,1900,0,1630,42,228,42,1630,31,1641,0,0,8,0.48,1539,92.05,11,0.66,83,4.96
Коломенская городская,УИК №1039,563,600,0,521,0,79,0,521,8,513,0,0,36,6.91,415,79.65,35,6.72,27,5.18
Коломенская городская,УИК №1040,1519,1550,0,1503,0,47,0,1501,3,1498,0,0,4,0.27,1476,98.33,7,0.47,11,0.73
Коломенская городская,УИК №1041,145,150,0,143,0,7,0,143,2,141,0,0,9,6.29,109,76.22,11,7.69,12,8.39
Коломенская городская,УИК №1042,278,300,0,278,0,22,0,278,10,268,0,0,13,4.68,230,82.73,16,5.76,9,3.24
Коломенская городская,УИК №1043,72,100,0,72,0,28,0,72,0,72,0,0,0,0,72,100,0,0,0,0
Коломенская городская,УИК №1044,257,300,0,257,0,43,0,257,5,252,0,0,15,5.84,217,84.44,11,4.28,9,3.5
Коломенская городская,УИК №1045,50,50,0,50,0,0,0,50,0,50,0,0,3,6,41,82,3,6,3,6
Коломенская городская,УИК №1046,150,150,0,150,0,0,0,150,0,150,0,0,1,0.67,148,98.67,0,0,1,0.67
Коломенская городская № 2,УИК №2076,511,500,0,160,295,45,295,160,7,448,0,0,15,3.3,402,88.35,13,2.86,18,3.96
Коломенская городская № 2,УИК №2077,1452,1330,0,1177,67,86,67,1177,16,1228,0,0,23,1.85,1148,92.28,33,2.65,24,1.93
Коломенская городская № 2,УИК №2078,1951,2100,0,696,814,590,814,696,42,1468,0,0,58,3.84,1259,83.38,69,4.57,82,5.43
Коломенская городская № 2,УИК №2079,1094,1150,0,429,597,124,597,429,25,1001,0,0,25,2.44,929,90.55,25,2.44,22,2.14
Коломенская городская № 2,УИК №2080,1028,1100,0,514,341,245,341,514,16,839,0,0,26,03.04,770,90.06,16,1.87,27,3.16
Коломенская городская № 2,УИК №2081,1998,2100,0,915,733,452,733,915,124,1524,0,0,51,03.09,1350,81.92,43,2.61,80,4.85
Коломенская городская № 2,УИК №2082,828,860,0,639,105,116,105,639,20,724,0,0,18,2.42,656,88.17,17,2.28,33,4.44
Коломенская городская № 2,УИК №2083,804,840,0,256,346,238,346,256,10,592,0,0,15,2.49,540,89.7,16,2.66,21,3.49
Коломенская городская № 2,УИК №2084,610,630,0,372,119,139,119,372,1,490,0,0,8,1.63,453,92.26,12,2.44,17,3.46
Коломенская городская № 2,УИК №2085,1226,1300,0,874,287,139,287,874,20,1141,0,0,18,1.55,1097,94.49,9,0.78,17,1.46
Коломенская городская № 2,УИК №2086,695,720,0,517,102,101,102,517,3,616,0,0,9,1.45,592,95.64,5,0.81,10,1.62
Коломенская городская № 2,УИК №2087,845,870,0,284,406,180,406,284,6,684,0,0,9,1.3,647,93.77,9,1.3,19,2.75
Коломенская городская № 2,УИК №2088,1351,1400,0,903,165,332,165,903,19,1049,0,0,39,3.65,956,89.51,20,1.87,34,3.18
Коломенская городская № 2,УИК №2089,766,780,0,506,96,178,96,506,17,585,0,0,18,2.99,533,88.54,17,2.82,17,2.82
Коломенская городская № 2,УИК №2090,792,830,0,592,49,189,49,592,9,632,0,0,18,2.81,571,89.08,11,1.72,32,4.99
Коломенская городская № 2,УИК №2091,780,800,0,428,219,153,219,428,14,633,0,0,7,01.08,589,91.04,12,1.85,25,3.86
Коломенская городская № 2,УИК №2092,1177,1250,0,517,415,318,415,517,21,911,0,0,26,2.79,825,88.52,25,2.68,35,3.76
Коломенская городская № 2,УИК №2093,1163,1130,0,399,540,191,540,399,9,930,0,0,25,2.66,869,92.55,9,0.96,27,2.88
Коломенская городская № 2,УИК №2094,1157,1100,0,323,556,221,556,323,12,867,0,0,25,2.84,780,88.74,29,3.3,33,3.75
Коломенская городская № 2,УИК №2095,1240,1300,0,387,819,94,819,387,14,1192,0,0,15,1.24,1111,92.12,17,1.41,49,04.06
Коломенская городская № 2,УИК №2096,998,1000,0,683,141,176,141,683,10,814,0,0,11,1.33,771,93.57,17,02.06,15,1.82
Коломенская городская № 2,УИК №2097,989,1000,0,533,264,203,264,533,8,789,0,0,22,2.76,722,90.59,20,2.51,25,3.14
Коломенская городская № 2,УИК №2098,614,600,0,277,224,99,224,277,6,495,0,0,6,1.2,468,93.41,10,1.99,11,2.2
Королевская городская,УИК №1047,1380,1100,0,987,4,109,4,987,18,973,0,0,36,3.63,769,77.6,39,3.94,129,13.02
Королевская городская,УИК №1048,369,369,0,152,217,0,217,152,0,369,0,0,18,4.88,332,89.97,10,2.71,9,2.44
Королевская городская,УИК №1049,2261,1800,0,1614,27,159,27,1614,4,1637,0,0,91,5.55,1399,85.25,31,1.89,116,07.07
Королевская городская,УИК №1050,2183,1800,0,1520,17,263,17,1520,2,1535,0,0,9,0.59,1365,88.81,13,0.85,148,9.63
Королевская городская,УИК №1051,1475,1200,0,1100,6,94,6,1100,40,1066,0,0,130,11.75,826,74.68,32,2.89,78,07.05
Королевская городская,УИК №1053,1675,1350,0,1291,4,55,4,1291,1,1294,0,0,7,0.54,1151,88.88,11,0.85,125,9.65
Королевская городская,УИК №1054,1405,1200,0,1031,13,156,13,1031,0,1044,0,0,5,0.48,929,88.98,8,0.77,102,9.77
Королевская городская,УИК №1055,1550,1300,0,1129,6,165,6,1129,1,1134,0,0,6,0.53,1009,88.9,8,0.7,111,9.78
Королевская городская,УИК №1056,1843,1400,0,1221,7,172,7,1221,4,1224,0,0,66,5.37,1019,82.98,61,4.97,78,6.35
Королевская городская,УИК №1057,1997,1700,0,1410,69,221,69,1410,22,1457,0,0,104,07.03,1248,84.38,30,02.03,75,05.07
Королевская городская,УИК №1058,1954,1700,0,1441,29,230,29,1441,2,1468,0,0,10,0.68,1306,88.84,10,0.68,142,9.66
Королевская городская,УИК №1059,1906,1600,0,1426,8,166,8,1426,0,1434,0,0,7,0.49,1276,88.98,11,0.77,140,9.76
Королевская городская,УИК №1060,1962,1600,0,1346,27,227,27,1344,14,1357,0,0,27,1.97,1167,85.12,56,04.08,107,7.8
Королевская городская,УИК №1062,2175,1800,0,1616,20,164,20,1616,0,1636,0,0,9,0.55,1456,88.99,11,0.67,160,9.78
Королевская городская,УИК №1063,2417,1900,0,1688,8,204,8,1688,2,1694,0,0,10,0.59,1508,88.92,12,0.71,164,9.67
Королевская городская,УИК №1064,1552,1300,0,1075,26,199,26,1075,0,1101,0,0,19,1.73,936,85.01,58,5.27,88,7.99
Королевская городская,УИК №1065,2080,1700,0,1482,7,211,7,1482,0,1489,0,0,8,0.54,1325,88.99,11,0.74,145,9.74
Королевская городская,УИК №1066,1295,1100,0,973,18,109,18,973,0,991,0,0,4,0.4,883,89.1,7,0.71,97,9.79
Королевская городская,УИК №1067,1549,1300,0,1041,28,231,28,1041,3,1066,0,0,21,1.96,907,84.85,31,2.9,107,10.01
Королевская городская,УИК №1068,1486,1200,0,1117,17,66,17,1117,1,1133,0,0,5,0.44,1009,88.98,8,0.71,111,9.79
Королевская городская,УИК №1069,1467,1200,0,1075,15,110,15,1075,0,1090,0,0,5,0.46,969,88.9,9,0.83,107,9.82
Королевская городская,УИК №1070,1504,1300,0,1010,77,213,77,1010,1,1086,0,0,6,0.55,966,88.87,8,0.74,106,9.75
Королевская городская,УИК №1071,1537,1300,0,1182,6,112,6,1182,2,1186,0,0,5,0.42,1056,88.89,9,0.76,116,9.76
Королевская городская,УИК №1072,1440,1200,0,1026,45,129,45,1026,1,1070,0,0,4,0.37,953,88.98,8,0.75,105,9.8
Королевская городская,УИК №1073,1382,1100,0,990,8,102,8,990,0,998,0,0,4,0.4,888,88.98,8,0.8,98,9.82
Королевская городская,УИК №1074,1517,1300,0,1024,30,246,30,1024,20,1034,0,0,83,7.87,887,84.16,24,2.28,40,3.8
Королевская городская,УИК №1075,1225,1000,0,758,20,222,20,758,30,748,0,0,57,7.33,579,74.42,24,03.08,88,11.31
Королевская городская,УИК №1076,1321,1100,0,877,66,157,66,877,0,943,0,0,5,0.53,839,88.97,7,0.74,92,9.76
Королевская городская,УИК №1077,1214,1000,0,888,14,98,14,888,0,902,0,0,5,0.55,803,89.02,7,0.78,87,9.65
Королевская городская,УИК №1078,1475,1200,0,1104,17,79,17,1104,0,1121,0,0,6,0.54,997,88.94,8,0.71,110,9.81
Королевская городская,УИК №1079,1711,1400,0,1207,23,170,23,1207,30,1200,0,0,138,11.22,876,71.22,86,6.99,100,8.13
Королевская городская,УИК №1080,1371,1100,0,1007,9,84,9,1007,1,1015,0,0,5,0.49,904,88.98,7,0.69,99,9.74
Королевская городская,УИК №1082,1180,1000,0,826,6,168,6,826,21,811,0,0,60,7.21,701,84.25,17,02.04,33,3.97
Королевская городская,УИК №1083,1715,1400,0,1317,8,75,8,1317,0,1325,0,0,7,0.53,1178,88.91,10,0.75,130,9.81
Королевская городская,УИК №1084,1683,1400,0,1225,10,165,10,1225,33,1202,0,0,103,8.34,992,80.32,53,4.29,54,4.37
Королевская городская,УИК №1085,1845,1500,0,1362,19,119,19,1362,36,1345,0,0,82,5.94,1185,85.81,30,2.17,48,3.48
Королевская городская,УИК №1086,1764,1500,0,1313,10,177,10,1313,68,1255,0,0,92,6.95,1076,81.33,21,1.59,66,4.99
Королевская городская,УИК №1087,1986,1700,0,1395,15,290,15,1395,4,1406,0,0,28,1.99,1207,85.6,71,05.04,100,07.09
Королевская городская,УИК №1088,1639,1400,0,1249,8,143,8,1249,0,1257,0,0,6,0.48,1119,89.02,9,0.72,123,9.79
Королевская городская,УИК №1089,1805,1500,0,1372,13,115,13,1372,38,1347,0,0,93,6.71,1143,82.53,60,4.33,51,3.68
Королевская городская,УИК №1090,2212,1700,0,1495,164,41,164,1495,31,1628,0,0,104,6.27,1442,86.92,36,2.17,46,2.77
Королевская городская,УИК №1091,2176,1800,0,1591,12,197,12,1591,33,1570,0,0,140,8.73,1323,82.53,25,1.56,82,5.12
Королевская городская,УИК №1092,2194,1800,0,1316,108,376,108,1316,39,1385,0,0,104,7.3,1131,79.42,59,4.14,91,6.39
Королевская городская,УИК №1093,1668,1400,0,1147,38,215,38,1147,11,1174,0,0,21,1.77,969,81.77,32,2.7,152,12.83
Королевская городская,УИК №1094,1804,1500,0,1295,18,187,18,1295,40,1273,0,0,103,7.84,1005,76.54,86,6.55,79,06.02
Королевская городская,УИК №1095,1795,1500,0,1263,69,168,69,1263,35,1297,0,0,124,9.31,1102,82.73,27,02.03,44,3.3
Королевская городская,УИК №1096,1703,1400,0,1290,7,103,7,1290,29,1268,0,0,100,7.71,1069,82.42,31,2.39,68,5.24
Королевская городская,УИК №1097,1540,1400,0,1133,6,261,6,1133,27,1112,0,0,99,8.69,925,81.21,33,2.9,55,4.83
Королевская городская,УИК №1098,1491,1300,0,1088,8,204,8,1088,0,1096,0,0,5,0.46,975,88.96,8,0.73,108,9.85
Королевская городская,УИК №1099,1577,1400,0,1075,31,294,31,1075,3,1103,0,0,22,1.99,937,84.72,34,03.07,110,9.95
Королевская городская,УИК №1100,1491,1200,0,1107,15,78,15,1107,0,1122,0,0,4,0.36,999,89.04,9,0.8,110,9.8
Королевская городская,УИК №1101,1522,1200,0,1098,11,91,11,1098,6,1103,0,0,22,1.98,949,85.57,33,2.98,99,8.93
Королевская городская,УИК №1103,2203,1900,0,1612,18,270,18,1612,0,1630,0,0,7,0.43,1451,89.02,12,0.74,160,9.82
Королевская городская,УИК №1105,2315,2000,0,1727,16,257,16,1727,2,1741,0,0,8,0.46,1550,88.93,14,0.8,169,9.7
Королевская городская,УИК №1106,1973,1700,0,1425,99,176,99,1425,2,1522,0,0,8,0.52,1355,88.91,12,0.79,147,9.65
Королевская городская,УИК №1107,1995,1500,0,1347,65,88,65,1332,50,1347,0,0,183,13.1,984,70.44,97,6.94,83,5.94
Королевская городская,УИК №1109,1998,1700,0,1440,4,256,4,1440,47,1397,0,0,85,5.89,1198,82.96,38,2.63,76,5.26
Королевская городская,УИК №1110,2165,1800,0,1555,25,220,25,1555,0,1580,0,0,7,0.44,1407,89.05,13,0.82,153,9.68
Королевская городская,УИК №1111,2126,1750,0,1626,43,81,43,1626,37,1632,0,0,123,7.37,1389,83.22,50,2.99,70,4.19
Королевская городская,УИК №1113,1830,1600,0,1278,3,319,3,1278,0,1281,0,0,26,02.03,1089,85.01,63,4.92,103,08.04
Королевская городская,УИК №1115,1690,1400,0,899,12,489,12,898,34,876,0,0,64,07.03,742,81.54,18,1.98,52,5.71
Королевская городская,УИК №1116,1893,1500,0,962,152,386,152,962,35,1079,0,0,118,10.59,871,78.19,37,3.32,53,4.76
Королевская городская,УИК №1117,1432,1300,0,945,18,337,18,945,20,943,0,0,63,6.54,747,77.57,33,3.43,100,10.38
Королевская городская,УИК №1118,1948,1600,0,1359,24,217,24,1359,0,1383,0,0,42,03.04,1176,85.03,55,3.98,110,7.95
Королевская городская,УИК №1119,1726,1400,0,1192,16,192,16,1192,26,1182,0,0,23,1.9,1005,83.2,59,4.88,95,7.86
Королевская городская,УИК №1120,2223,1800,0,1690,4,106,4,1690,0,1694,0,0,11,0.65,1506,88.9,13,0.77,164,9.68
Королевская городская,УИК №1121,2012,1700,0,1479,9,212,9,1479,38,1450,0,0,149,10.01,1230,82.66,41,2.76,30,02.02
Королевская городская,УИК №1122,1539,1300,0,1179,22,99,22,1179,18,1183,0,0,99,8.24,1007,83.85,34,2.83,43,3.58
Королевская городская,УИК №1123,2345,1900,0,1579,43,278,43,1579,19,1603,0,0,114,07.03,1397,86.13,36,2.22,56,3.45
Королевская городская,УИК №1124,1510,1300,0,1075,13,212,13,1075,0,1088,0,0,22,02.02,925,85.02,32,2.94,109,10.02
Королевская городская,УИК №1125,1678,1400,0,1189,20,191,20,1189,0,1209,0,0,24,1.99,1028,85.03,36,2.98,121,10.01
Королевская городская,УИК №1126,1287,1000,0,834,80,86,80,834,27,887,0,0,59,6.46,741,81.07,27,2.95,60,6.56
Королевская городская,УИК №1127,376,400,0,238,40,122,40,238,6,272,0,0,13,4.68,249,89.57,4,1.44,6,2.16
Королевская городская,УИК №3587,1936,1600,0,1398,98,104,98,1398,0,1496,0,0,7,0.47,1332,89.04,12,0.8,145,9.69
Королевская городская,УИК №3589,1708,1400,0,1276,10,114,10,1276,2,1284,0,0,6,0.47,1143,88.88,9,0.7,126,9.8
Королевская городская,УИК №3590,2200,1800,0,1477,126,197,126,1477,33,1570,0,0,85,5.3,1408,87.84,23,1.43,54,3.37
Королевская городская,УИК №3591,1387,1200,0,881,62,257,62,881,32,911,0,0,41,4.35,796,84.41,16,1.7,58,6.15
Королевская городская,УИК №3592,1524,1300,0,1105,12,183,12,1105,0,1117,0,0,4,0.36,994,88.99,9,0.81,110,9.85
Королевская городская,УИК №3593,1461,1200,0,972,112,116,112,972,23,1061,0,0,61,5.63,889,82.01,15,1.38,96,8.86
Королевская городская,УИК №3594,1472,1200,0,1083,18,99,18,1083,19,1082,0,0,35,3.18,974,88.47,17,1.54,56,05.09
Королевская городская,УИК №3595,1531,1200,0,1032,40,128,40,1032,23,1049,0,0,97,09.05,868,80.97,21,1.96,63,5.88
Королевская городская,УИК №3596,1844,1500,0,1302,21,177,21,1302,15,1308,0,0,33,2.49,1107,83.67,51,3.85,117,8.84
Королевская городская,УИК №3598,1737,1400,0,799,20,581,20,799,27,792,0,0,119,14.53,597,72.89,30,3.66,46,5.62
Королевская городская,УИК №3599,1580,1300,0,1138,14,148,14,1138,0,1152,0,0,29,2.52,950,82.47,65,5.64,108,9.38
Королевская городская,УИК №3600,2338,1850,0,1773,9,68,9,1773,2,1780,0,0,11,0.62,1584,88.89,13,0.73,172,9.65
Королевская городская,УИК №3601,1653,1300,0,1041,33,226,33,1041,39,1035,0,0,111,10.34,744,69.27,63,5.87,117,10.89
Королевская городская,УИК №3602,2030,1700,0,1407,14,279,14,1407,5,1416,0,0,42,2.96,1204,84.73,57,04.01,113,7.95
Королевская городская,УИК №3603,2180,1800,0,1593,25,182,25,1593,0,1618,0,0,8,0.49,1439,88.94,13,0.8,158,9.77
Королевская городская,УИК №3604,1739,1500,0,1035,25,440,25,1035,25,1035,0,0,140,13.21,696,65.66,85,08.02,114,10.75
Королевская городская,УИК №3778,1507,1400,0,993,39,368,39,993,43,989,0,0,128,12.4,764,74.03,34,3.29,63,6.1
Королевская городская,УИК №3785,1622,1400,0,1036,50,314,50,1035,27,1058,0,0,85,7.83,881,81.2,34,3.13,58,5.35
Котельниковская городская,УИК №1133,1866,1700,0,1067,255,378,255,1067,25,1297,0,0,54,04.08,1173,88.73,35,2.65,35,2.65
Котельниковская городская,УИК №1134,999,900,0,612,80,208,80,612,8,684,0,0,5,0.72,601,86.85,33,4.77,45,6.5
Котельниковская городская,УИК №1135,1602,1350,0,1037,95,218,95,1037,15,1117,0,0,3,0.27,980,86.57,64,5.65,70,6.18
Котельниковская городская,УИК №1136,1057,900,0,672,85,143,85,672,14,743,0,0,8,01.06,655,86.53,36,4.76,44,5.81
Котельниковская городская,УИК №1137,1212,1000,0,757,96,147,96,757,13,840,0,0,6,0.7,734,86.05,48,5.63,52,6.1
Котельниковская городская,УИК №1138,2108,1800,0,1323,177,300,177,1323,16,1484,0,0,5,0.33,1298,86.53,80,5.33,101,6.73
Котельниковская городская,УИК №1139,1787,1500,0,1160,119,221,119,1160,32,1247,0,0,158,12.35,1027,80.3,22,1.72,40,3.13
Котельниковская городская,УИК №1140,1684,1400,0,1047,140,213,140,1047,10,1177,0,0,3,0.25,1033,87.03,60,05.05,81,6.82
Котельниковская городская,УИК №1141,2171,1800,0,1384,160,256,160,1384,17,1527,0,0,8,0.52,1341,86.85,82,5.31,96,6.22
